ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10444,37,343.84,1,12722.08,2022-06-03,191,Resolved,Motorcycles,493.34,S257-1473,Customer_167,+59-950-8861,7440 Main Street,Paris,87883,USA,LastName_675,FirstName_1987,Small
10445,84,314.96,4,26456.64,2021-08-23,291,Cancelled,Classic Cars,455.22,S920-5635,Customer_662,+8-861-2158,8965 Main Street,Tokyo,59989,Canada,LastName_817,FirstName_523,Small
10446,31,482.87,4,14968.97,2019-01-01,10,Cancelled,Classic Cars,606.2,S512-5668,Customer_1326,+97-769-3525,1976 Main Street,Paris,74336,Italy,LastName_1508,FirstName_1652,Medium
10447,88,305.72,3,26903.36,2025-06-18,49,On Hold,Planes,360.73,S556-7358,Customer_976,+35-676-7931,1479 Main Street,Rome,58265,Japan,LastName_382,FirstName_890,Large
10448,55,55.54,5,3054.7,2021-10-31,237,Disputed,Classic Cars,75.48,S830-3540,Customer_1907,+64-639-9596,1376 Main Street,Paris,71370,Italy,LastName_163,FirstName_1858,Medium
10449,39,82.82,2,3229.98,2025-09-03,153,Cancelled,Planes,105.27,S682-1781,Customer_1129,+10-146-9411,1764 Main Street,Amsterdam,65694,Italy,LastName_194,FirstName_952,Large
10450,93,288.55,3,26835.15,2021-12-26,130,Resolved,Motorcycles,406.12,S116-2866,Customer_1517,+85-573-3941,2986 Main Street,Rome,15932,Canada,LastName_853,FirstName_1796,Large
10451,39,163.83,4,6389.37,2025-07-08,230,Resolved,Trains,197.58,S992-4066,Customer_433,+24-180-5248,1743 Main Street,Rome,80041,USA,LastName_12,FirstName_809,Small
10452,2,94.15,4,188.3,2023-02-28,354,In Process,Trains,128.33,S862-8974,Customer_621,+80-932-6910,6472 Main Street,Paris,21486,UK,LastName_277,FirstName_29,Small
10453,15,409.82,2,6147.3,2018-04-20,107,In Process,Ships,474.6,S347-8139,Customer_1725,+81-978-9824,3128 Main Street,Toronto,49441,Spain,LastName_304,FirstName_971,Medium
10454,3,67.06,2,201.18,2025-11-17,227,In Process,Vintage Cars,74.29,S560-4975,Customer_413,+38-683-7418,835 Main Street,Sydney,11032,Canada,LastName_1292,FirstName_1736,Large
10455,56,489.95,4,27437.2,2024-06-28,305,Disputed,Planes,734.73,S137-8987,Customer_819,+63-625-8993,3800 Main Street,New York,79246,USA,LastName_865,FirstName_1181,Medium
10456,71,41.12,4,2919.52,2023-04-23,59,In Process,Planes,60.68,S455-8345,Customer_1429,+56-121-3643,4719 Main Street,Berlin,71504,Australia,LastName_898,FirstName_476,Large
10457,29,297.95,3,8640.55,2024-10-02,336,In Process,Classic Cars,433.0,S840-7395,Customer_1966,+54-953-6902,7739 Main Street,London,91506,Germany,LastName_579,FirstName_1415,Large
10458,12,336.86,2,4042.32,2019-12-11,102,Cancelled,Planes,436.87,S912-7815,Customer_1932,+64-410-4845,3432 Main Street,Amsterdam,16166,USA,LastName_735,FirstName_1805,Medium
10459,46,341.69,2,15717.74,2023-08-25,16,Shipped,Trucks and Buses,434.71,S732-4714,Customer_248,+72-329-8968,4225 Main Street,Sydney,56562,USA,LastName_1578,FirstName_1798,Large
10460,35,449.2,5,15722.0,2024-10-11,342,Shipped,Ships,503.18,S548-8489,Customer_1972,+97-213-2734,9989 Main Street,Toronto,83724,USA,LastName_1039,FirstName_216,Small
10461,81,67.85,2,5495.85,2022-01-21,80,Disputed,Trucks and Buses,93.85,S880-9288,Customer_1021,+94-991-2626,2528 Main Street,Sydney,53857,UK,LastName_252,FirstName_1738,Small
10462,57,485.12,1,27651.84,2020-10-01,242,On Hold,Trucks and Buses,631.63,S187-5358,Customer_763,+92-872-7799,5909 Main Street,Berlin,29871,Netherlands,LastName_864,FirstName_1613,Small
10463,18,402.87,4,7251.66,2022-08-04,234,Resolved,Trains,553.09,S130-8251,Customer_299,+99-110-9476,1141 Main Street,Toronto,54342,Australia,LastName_823,FirstName_1582,Small
10464,56,40.12,1,2246.72,2025-05-28,328,Cancelled,Planes,45.06,S746-9516,Customer_1993,+38-529-7586,9071 Main Street,Paris,51116,Australia,LastName_17,FirstName_1694,Medium
10465,68,309.1,2,21018.8,2025-11-08,206,In Process,Ships,365.37,S657-8244,Customer_1429,+45-931-7627,3233 Main Street,Paris,21046,USA,LastName_1101,FirstName_686,Medium
10466,93,362.25,2,33689.25,2023-11-02,276,On Hold,Classic Cars,411.92,S665-6115,Customer_1068,+44-875-3621,384 Main Street,New York,80770,Japan,LastName_530,FirstName_495,Medium
10467,93,217.15,5,20194.95,2019-03-29,30,On Hold,Trucks and Buses,293.33,S462-3028,Customer_98,+97-766-3043,7353 Main Street,Paris,85030,USA,LastName_929,FirstName_695,Small
10468,96,494.61,5,47482.56,2025-01-15,340,Resolved,Trains,661.9,S458-5902,Customer_583,+86-903-3293,6188 Main Street,Amsterdam,42457,Canada,LastName_672,FirstName_1058,Large
10469,25,413.19,3,10329.75,2023-02-04,50,Cancelled,Ships,524.87,S521-2342,Customer_189,+8-535-3130,7803 Main Street,Berlin,68479,Canada,LastName_757,FirstName_1387,Large
10470,52,298.24,5,15508.48,2022-06-06,135,Resolved,Vintage Cars,403.99,S550-9020,Customer_1499,+54-943-3668,2365 Main Street,Amsterdam,26662,Spain,LastName_1457,FirstName_938,Small
10471,91,261.46,5,23792.86,2019-04-29,355,Cancelled,Vintage Cars,337.11,S864-3569,Customer_1934,+72-478-2945,9857 Main Street,Rome,24461,Canada,LastName_757,FirstName_1171,Medium
10472,6,266.16,1,1596.96,2022-03-02,156,On Hold,Trucks and Buses,324.07,S128-3340,Customer_292,+76-531-1797,5000 Main Street,Paris,38256,UK,LastName_1678,FirstName_1515,Medium
10473,1,69.94,3,69.94,2018-10-04,22,In Process,Vintage Cars,92.97,S679-8411,Customer_1844,+44-900-7181,7787 Main Street,Tokyo,27407,UK,LastName_1034,FirstName_1304,Medium
10474,98,230.47,4,22586.06,2019-09-03,166,Shipped,Trains,311.11,S738-7711,Customer_794,+30-504-6554,8864 Main Street,New York,97876,Spain,LastName_1508,FirstName_569,Large
10475,12,434.32,1,5211.84,2024-05-31,322,Disputed,Trucks and Buses,575.22,S226-2395,Customer_395,+80-654-1866,9343 Main Street,Amsterdam,34824,Spain,LastName_1030,FirstName_1837,Small
10476,16,332.54,5,5320.64,2020-01-07,9,On Hold,Trains,393.17,S949-8278,Customer_174,+69-721-6249,6584 Main Street,Tokyo,15896,Spain,LastName_1766,FirstName_1913,Small
10477,44,224.14,4,9862.16,2018-04-09,270,On Hold,Vintage Cars,269.61,S217-2627,Customer_1110,+22-392-3359,2993 Main Street,Paris,21747,UK,LastName_629,FirstName_1951,Medium
10478,87,92.9,5,8082.3,2021-08-25,92,Shipped,Ships,104.36,S499-2617,Customer_656,+19-522-6311,4226 Main Street,Rome,25855,USA,LastName_415,FirstName_491,Large
10479,76,125.88,5,9566.88,2023-08-29,197,Shipped,Trucks and Buses,141.52,S575-7669,Customer_135,+62-129-7676,3830 Main Street,New York,45279,Netherlands,LastName_1974,FirstName_1201,Large
10480,13,130.69,5,1698.97,2025-04-22,64,On Hold,Planes,165.02,S185-9199,Customer_417,+19-482-9854,2756 Main Street,Berlin,80455,Italy,LastName_1969,FirstName_1867,Large
10481,58,30.48,4,1767.84,2024-12-17,148,Disputed,Classic Cars,33.53,S593-5477,Customer_1225,+33-959-7228,5758 Main Street,Berlin,86697,Netherlands,LastName_577,FirstName_94,Small
10482,95,271.7,1,25811.5,2021-05-16,45,In Process,Ships,312.24,S243-5578,Customer_1799,+56-315-9270,5216 Main Street,Sydney,93252,France,LastName_1542,FirstName_1450,Medium
10483,35,130.5,3,4567.5,2021-10-31,107,In Process,Planes,160.7,S808-3190,Customer_1324,+1-723-8807,71 Main Street,New York,98172,UK,LastName_847,FirstName_1139,Large
10484,91,249.6,4,22713.6,2024-01-14,41,Disputed,Ships,282.3,S131-8293,Customer_1377,+16-461-7166,9852 Main Street,Sydney,60692,UK,LastName_1719,FirstName_1573,Large
10485,2,71.13,3,142.26,2020-03-01,227,Shipped,Classic Cars,99.39,S876-5606,Customer_1394,+91-466-4137,1475 Main Street,Tokyo,91951,France,LastName_1656,FirstName_1471,Small
10486,30,490.26,3,14707.8,2018-05-31,143,In Process,Ships,677.93,S314-1116,Customer_402,+82-505-2817,4545 Main Street,Tokyo,75578,Spain,LastName_350,FirstName_1131,Small
10487,85,372.02,5,31621.7,2024-05-03,89,Shipped,Planes,428.31,S166-3087,Customer_532,+73-976-4734,8571 Main Street,Paris,35146,USA,LastName_1987,FirstName_1420,Large
10488,69,311.08,5,21464.52,2023-02-03,1,In Process,Ships,425.94,S765-1849,Customer_1749,+42-542-7666,4490 Main Street,Toronto,99151,Netherlands,LastName_956,FirstName_1015,Medium
10489,67,381.92,2,25588.64,2018-07-12,142,In Process,Planes,488.68,S105-7420,Customer_399,+43-183-1415,3697 Main Street,Rome,19757,Germany,LastName_404,FirstName_337,Medium
10490,40,40.79,1,1631.6,2018-04-25,245,In Process,Trains,45.26,S916-6477,Customer_1722,+33-353-2766,7760 Main Street,Berlin,54669,USA,LastName_1683,FirstName_684,Large
10491,31,472.34,5,14642.54,2024-12-12,224,Shipped,Ships,603.93,S227-2401,Customer_1996,+8-134-7183,5133 Main Street,Toronto,26716,USA,LastName_1883,FirstName_1644,Medium
10492,8,157.72,4,1261.76,2018-09-27,52,Disputed,Motorcycles,208.77,S401-7249,Customer_823,+13-732-7735,3820 Main Street,Tokyo,96471,Japan,LastName_22,FirstName_929,Medium
10493,60,399.63,5,23977.8,2024-12-11,51,On Hold,Ships,589.47,S901-1425,Customer_930,+67-436-4153,1770 Main Street,Toronto,11610,Japan,LastName_1461,FirstName_139,Large
10494,25,453.14,2,11328.5,2025-02-23,260,On Hold,Trucks and Buses,574.76,S842-8284,Customer_381,+32-240-1722,992 Main Street,London,50850,Japan,LastName_893,FirstName_1051,Large
10495,97,185.29,5,17973.13,2024-01-26,74,Cancelled,Vintage Cars,226.7,S451-5768,Customer_756,+2-630-3369,940 Main Street,Berlin,76467,Netherlands,LastName_1759,FirstName_112,Medium
10496,45,105.75,2,4758.75,2025-03-08,103,Shipped,Trucks and Buses,124.33,S587-8657,Customer_1229,+89-439-6499,4910 Main Street,Rome,53072,UK,LastName_215,FirstName_931,Small
10497,64,117.51,1,7520.64,2025-03-01,114,Disputed,Classic Cars,151.19,S318-4916,Customer_985,+95-886-6431,6159 Main Street,Berlin,62469,UK,LastName_1692,FirstName_14,Medium
10498,2,46.13,1,92.26,2024-03-22,58,Cancelled,Trucks and Buses,58.87,S746-6896,Customer_90,+4-303-4241,4655 Main Street,London,38697,France,LastName_1473,FirstName_357,Medium
10499,71,130.52,2,9266.92,2018-03-30,90,On Hold,Motorcycles,144.67,S793-3248,Customer_777,+84-906-2818,5545 Main Street,Berlin,49986,Spain,LastName_492,FirstName_758,Medium
10500,85,93.97,5,7987.45,2024-12-27,222,Disputed,Motorcycles,107.82,S233-4107,Customer_393,+69-487-7131,5210 Main Street,Tokyo,66300,Germany,LastName_1887,FirstName_95,Large
10501,76,102.66,5,7802.16,2021-04-19,76,On Hold,Classic Cars,115.11,S914-5588,Customer_1788,+17-971-9327,9570 Main Street,Madrid,37425,Canada,LastName_1607,FirstName_964,Large
10502,79,41.79,5,3301.41,2022-05-09,330,Resolved,Trucks and Buses,54.3,S575-3932,Customer_660,+92-482-9609,7919 Main Street,Madrid,72096,France,LastName_1191,FirstName_822,Large
10503,75,328.37,2,24627.75,2020-06-18,103,In Process,Trains,391.99,S323-6013,Customer_871,+49-685-3575,6130 Main Street,Paris,82161,Canada,LastName_276,FirstName_1540,Small
10504,38,227.81,3,8656.78,2020-07-31,298,Shipped,Vintage Cars,297.27,S444-7981,Customer_924,+60-542-7700,6022 Main Street,Madrid,51552,France,LastName_784,FirstName_51,Small
10505,57,124.56,1,7099.92,2022-01-10,42,On Hold,Trains,162.02,S659-2280,Customer_1610,+36-333-2612,1943 Main Street,Toronto,57216,USA,LastName_1119,FirstName_411,Medium
10506,26,340.8,3,8860.8,2021-05-24,349,On Hold,Classic Cars,471.07,S241-9898,Customer_1869,+34-108-5906,4618 Main Street,Sydney,62928,Italy,LastName_1684,FirstName_1188,Large
10507,2,241.28,5,482.56,2019-09-04,203,Cancelled,Classic Cars,335.22,S314-8773,Customer_479,+67-701-8679,7560 Main Street,Sydney,21255,Australia,LastName_1733,FirstName_385,Medium
10508,99,471.55,4,46683.45,2020-05-08,224,In Process,Trains,624.04,S483-3276,Customer_1183,+17-412-1158,8189 Main Street,Sydney,54541,Germany,LastName_859,FirstName_872,Large
10509,97,207.65,5,20142.05,2021-05-12,166,Resolved,Motorcycles,275.56,S132-3279,Customer_315,+43-681-7404,6248 Main Street,Berlin,61201,Canada,LastName_1095,FirstName_792,Small
10510,61,63.23,5,3857.03,2023-01-24,327,On Hold,Motorcycles,73.89,S791-3910,Customer_66,+89-717-9005,440 Main Street,London,36083,Canada,LastName_1867,FirstName_1973,Medium
10511,37,110.89,3,4102.93,2025-05-25,268,Shipped,Vintage Cars,124.53,S630-1180,Customer_352,+42-980-7731,6408 Main Street,London,24515,UK,LastName_1099,FirstName_857,Medium
10512,96,43.69,2,4194.24,2019-06-17,105,On Hold,Vintage Cars,62.35,S780-8778,Customer_326,+78-688-6084,9626 Main Street,Berlin,75860,Spain,LastName_565,FirstName_414,Small
10513,19,228.41,4,4339.79,2024-10-13,126,Resolved,Trucks and Buses,334.42,S602-8539,Customer_948,+74-140-2492,4718 Main Street,Madrid,55453,France,LastName_801,FirstName_1256,Small
10514,54,132.08,5,7132.32,2022-11-05,234,In Process,Ships,154.98,S682-2565,Customer_806,+90-144-4927,2588 Main Street,Paris,92324,Netherlands,LastName_598,FirstName_1366,Small
10515,90,366.0,2,32940.0,2023-07-15,210,Resolved,Motorcycles,548.31,S178-2723,Customer_1034,+99-898-6341,6720 Main Street,Madrid,31605,France,LastName_425,FirstName_1037,Small
10516,60,23.09,4,1385.4,2022-04-11,175,Disputed,Vintage Cars,33.3,S506-1618,Customer_22,+33-217-3236,5360 Main Street,Madrid,73538,Spain,LastName_140,FirstName_170,Large
10517,85,128.72,4,10941.2,2019-07-29,241,On Hold,Trains,149.9,S958-1295,Customer_1244,+13-281-5819,2035 Main Street,Amsterdam,61229,UK,LastName_159,FirstName_1376,Small
10518,87,143.89,4,12518.43,2022-01-06,91,Cancelled,Ships,160.26,S791-9721,Customer_443,+57-813-1782,8567 Main Street,Toronto,61199,France,LastName_910,FirstName_108,Large
10519,1,33.85,4,33.85,2020-04-06,127,On Hold,Classic Cars,39.94,S116-7908,Customer_58,+2-445-4148,1036 Main Street,Berlin,22661,UK,LastName_1483,FirstName_343,Small
10520,54,261.13,3,14101.02,2021-08-14,287,Disputed,Classic Cars,352.49,S654-7472,Customer_1923,+55-223-4807,3503 Main Street,Toronto,56737,Australia,LastName_356,FirstName_31,Medium
10521,84,164.96,4,13856.64,2020-05-21,234,Cancelled,Motorcycles,224.87,S385-7045,Customer_90,+9-323-7735,4941 Main Street,Tokyo,75480,Canada,LastName_1460,FirstName_1099,Large
10522,22,133.45,1,2935.9,2024-09-23,166,Disputed,Ships,167.54,S889-3177,Customer_681,+23-750-6209,7900 Main Street,Toronto,53922,USA,LastName_1247,FirstName_1868,Large
10523,58,197.36,2,11446.88,2023-08-25,300,Disputed,Motorcycles,235.46,S731-3032,Customer_633,+31-855-8020,3991 Main Street,Tokyo,20405,USA,LastName_282,FirstName_768,Medium
10524,38,108.99,4,4141.62,2020-04-17,328,Shipped,Classic Cars,160.15,S712-8270,Customer_1514,+43-237-5556,5203 Main Street,New York,78271,Italy,LastName_1328,FirstName_1665,Medium
10525,97,21.61,3,2096.17,2021-11-04,124,Cancelled,Planes,24.24,S780-5068,Customer_1642,+88-812-4644,9963 Main Street,Rome,78350,Australia,LastName_376,FirstName_906,Large
10526,1,41.66,4,41.66,2018-10-14,98,Shipped,Ships,62.36,S309-3057,Customer_188,+23-706-9992,3349 Main Street,Berlin,76509,Canada,LastName_873,FirstName_1485,Medium
10527,40,90.44,2,3617.6,2020-09-30,217,Cancelled,Planes,108.49,S392-8344,Customer_1982,+82-306-5454,7884 Main Street,Toronto,57131,Italy,LastName_774,FirstName_344,Medium
10528,57,217.12,5,12375.84,2022-11-11,79,In Process,Motorcycles,305.0,S537-2363,Customer_1555,+39-709-9801,2504 Main Street,Amsterdam,33029,France,LastName_780,FirstName_950,Medium
10529,59,148.78,5,8778.02,2024-10-18,246,Shipped,Trucks and Buses,171.79,S580-4206,Customer_317,+25-104-1210,8204 Main Street,Sydney,74415,Italy,LastName_1896,FirstName_852,Medium
10530,96,192.84,4,18512.64,2021-06-14,328,Resolved,Motorcycles,243.66,S139-3039,Customer_789,+73-266-4182,7149 Main Street,Paris,55688,Netherlands,LastName_1453,FirstName_1001,Large
10531,89,190.41,1,16946.49,2025-04-20,197,In Process,Ships,228.25,S589-1565,Customer_1888,+47-746-1462,2423 Main Street,Paris,89355,Spain,LastName_1934,FirstName_1395,Small
10532,33,131.23,5,4330.59,2025-06-07,82,Shipped,Motorcycles,184.82,S759-7297,Customer_815,+91-700-2316,8496 Main Street,Berlin,65436,UK,LastName_1700,FirstName_875,Medium
10533,89,158.09,5,14070.01,2025-05-21,195,Resolved,Trucks and Buses,220.31,S870-2456,Customer_224,+82-686-6642,2339 Main Street,Paris,37462,Italy,LastName_1432,FirstName_631,Small
10534,22,410.03,1,9020.66,2019-02-01,35,Disputed,Vintage Cars,537.13,S770-5724,Customer_1502,+56-274-3890,6139 Main Street,London,27607,Germany,LastName_997,FirstName_373,Large
10535,15,230.82,2,3462.3,2020-01-31,102,Shipped,Ships,270.77,S877-4143,Customer_532,+53-551-2789,2722 Main Street,Toronto,48420,Canada,LastName_774,FirstName_256,Medium
10536,9,177.65,5,1598.85,2020-08-19,244,In Process,Ships,249.46,S109-2000,Customer_545,+97-107-1685,1587 Main Street,Berlin,78463,USA,LastName_770,FirstName_1235,Large
10537,98,140.26,4,13745.48,2023-04-23,172,Resolved,Vintage Cars,173.17,S798-6620,Customer_646,+31-469-7528,6201 Main Street,Tokyo,17502,Australia,LastName_1789,FirstName_677,Small
10538,1,233.89,4,233.89,2019-07-23,13,Resolved,Motorcycles,338.58,S386-5072,Customer_755,+58-733-8785,8437 Main Street,Rome,96537,Germany,LastName_7,FirstName_1307,Medium
10539,3,320.55,1,961.65,2021-08-26,347,In Process,Classic Cars,430.4,S509-2333,Customer_714,+55-587-2645,6306 Main Street,Paris,89583,Germany,LastName_1459,FirstName_294,Large
10540,74,394.58,5,29198.92,2018-05-11,65,In Process,Trains,447.78,S952-9990,Customer_1792,+60-272-8311,1896 Main Street,Madrid,96853,Netherlands,LastName_494,FirstName_499,Small
10541,22,379.09,1,8339.98,2019-03-09,222,Disputed,Motorcycles,441.3,S434-7283,Customer_1570,+36-325-5220,7804 Main Street,Toronto,97225,UK,LastName_1890,FirstName_1095,Large
10542,93,251.06,3,23348.58,2020-07-05,294,Resolved,Motorcycles,340.84,S486-7252,Customer_1340,+83-903-8159,3824 Main Street,Berlin,43959,Canada,LastName_596,FirstName_180,Small
10543,12,176.72,5,2120.64,2020-02-10,59,Resolved,Trucks and Buses,203.4,S420-7229,Customer_1182,+95-101-6092,1014 Main Street,Tokyo,80202,Germany,LastName_1735,FirstName_795,Medium
10544,41,387.93,2,15905.13,2023-10-30,339,Resolved,Planes,461.19,S504-1150,Customer_1103,+59-423-3370,4864 Main Street,Berlin,75514,Spain,LastName_302,FirstName_1232,Medium
10545,19,376.06,1,7145.14,2024-09-19,163,On Hold,Planes,562.64,S226-5480,Customer_1737,+91-687-8836,3535 Main Street,Madrid,48206,Italy,LastName_121,FirstName_1660,Medium
10546,20,415.66,2,8313.2,2020-07-10,358,Disputed,Motorcycles,610.71,S894-3933,Customer_1755,+63-844-7419,4901 Main Street,London,12826,Netherlands,LastName_804,FirstName_692,Medium
10547,87,241.98,3,21052.26,2022-05-23,200,Shipped,Planes,336.52,S389-4196,Customer_1436,+71-503-2594,2145 Main Street,Sydney,86072,USA,LastName_1741,FirstName_1915,Large
10548,39,234.19,2,9133.41,2024-06-22,70,In Process,Ships,302.8,S248-4436,Customer_447,+96-300-1149,5935 Main Street,Tokyo,23362,UK,LastName_772,FirstName_1947,Medium
10549,87,422.41,1,36749.67,2019-01-29,182,In Process,Classic Cars,624.33,S220-9444,Customer_1332,+44-707-8107,2435 Main Street,Rome,42112,USA,LastName_244,FirstName_494,Medium
10550,63,158.32,5,9974.16,2019-12-08,334,Disputed,Vintage Cars,223.29,S914-2468,Customer_1593,+60-985-7260,4510 Main Street,Madrid,58145,USA,LastName_246,FirstName_239,Small
10551,16,249.72,5,3995.52,2020-07-10,11,Resolved,Planes,373.32,S591-5484,Customer_1421,+96-196-3967,6291 Main Street,Madrid,94488,Italy,LastName_612,FirstName_1171,Small
10552,13,169.36,5,2201.68,2020-01-28,207,Disputed,Motorcycles,212.97,S937-9788,Customer_1605,+68-600-2047,8502 Main Street,Tokyo,80645,Canada,LastName_1544,FirstName_1543,Small
10553,85,449.83,2,38235.55,2024-09-19,355,Cancelled,Motorcycles,594.63,S919-6149,Customer_252,+6-231-4378,2642 Main Street,Toronto,83727,France,LastName_1744,FirstName_1543,Small
10554,11,490.16,5,5391.76,2021-05-07,186,Resolved,Classic Cars,622.12,S773-1001,Customer_509,+39-147-9510,4808 Main Street,Amsterdam,68316,UK,LastName_1182,FirstName_1005,Large
10555,41,266.11,3,10910.51,2024-10-18,275,Resolved,Classic Cars,365.95,S778-1732,Customer_486,+5-292-3321,4911 Main Street,Berlin,27590,Japan,LastName_1131,FirstName_443,Large
10556,46,145.92,5,6712.32,2022-09-25,38,Resolved,Trucks and Buses,175.73,S765-3675,Customer_820,+59-185-5164,6969 Main Street,London,80242,Germany,LastName_145,FirstName_1290,Large
10557,35,497.73,2,17420.55,2022-03-05,288,Disputed,Ships,710.86,S719-3687,Customer_860,+20-423-8104,6209 Main Street,New York,89116,Germany,LastName_159,FirstName_554,Small
10558,69,63.9,5,4409.1,2022-07-25,33,On Hold,Ships,72.56,S441-5476,Customer_300,+29-380-1161,1605 Main Street,Rome,39127,Italy,LastName_1950,FirstName_216,Small
10559,23,267.97,3,6163.31,2024-08-08,250,Shipped,Planes,332.16,S685-5620,Customer_1130,+35-722-2623,786 Main Street,London,51680,Italy,LastName_371,FirstName_707,Large
10560,87,484.32,5,42135.84,2024-03-09,304,In Process,Vintage Cars,647.5,S365-1155,Customer_1407,+66-830-3547,2071 Main Street,London,59650,Japan,LastName_1507,FirstName_548,Small
10561,93,323.2,3,30057.6,2025-12-07,127,Disputed,Planes,409.59,S568-3999,Customer_899,+46-917-8678,8229 Main Street,Paris,46152,Italy,LastName_1067,FirstName_1929,Large
10562,30,159.54,1,4786.2,2021-06-05,208,On Hold,Trains,181.25,S181-2256,Customer_1495,+31-195-3705,9426 Main Street,New York,21086,France,LastName_1135,FirstName_1904,Medium
10563,2,481.46,4,962.92,2025-08-05,260,Disputed,Classic Cars,621.98,S627-9722,Customer_1430,+16-515-1227,3116 Main Street,New York,65702,Netherlands,LastName_1536,FirstName_707,Small
10564,95,333.98,5,31728.1,2025-09-02,311,Shipped,Planes,427.31,S272-9577,Customer_1851,+29-279-2230,6014 Main Street,London,77329,Australia,LastName_1951,FirstName_105,Medium
10565,64,195.76,3,12528.64,2019-04-09,173,Disputed,Classic Cars,280.46,S971-2931,Customer_595,+39-594-5809,4338 Main Street,Berlin,10292,Japan,LastName_807,FirstName_446,Medium
10566,83,262.61,1,21796.63,2023-03-12,316,In Process,Motorcycles,326.24,S730-8542,Customer_673,+39-462-2755,85 Main Street,Sydney,34400,Italy,LastName_727,FirstName_19,Small
10567,56,251.1,1,14061.6,2023-12-08,263,Cancelled,Vintage Cars,288.65,S599-1113,Customer_319,+99-772-5098,3705 Main Street,Madrid,61820,Australia,LastName_613,FirstName_747,Medium
10568,24,272.85,3,6548.4,2019-03-22,224,Disputed,Trains,348.09,S243-6795,Customer_1531,+56-105-6885,3252 Main Street,Toronto,34846,France,LastName_83,FirstName_274,Medium
10569,54,374.52,1,20224.08,2019-10-19,341,Cancelled,Vintage Cars,555.74,S372-2946,Customer_863,+63-663-9119,2088 Main Street,Sydney,62412,Netherlands,LastName_1487,FirstName_1892,Large
10570,50,74.39,1,3719.5,2018-03-28,64,Cancelled,Trucks and Buses,96.71,S885-4874,Customer_107,+87-949-6605,7040 Main Street,Tokyo,11052,Italy,LastName_984,FirstName_593,Medium
10571,63,50.48,4,3180.24,2020-10-11,316,Cancelled,Ships,65.85,S355-5606,Customer_1571,+15-984-5317,4053 Main Street,Rome,36006,Spain,LastName_1447,FirstName_1604,Small
10572,90,367.92,5,33112.8,2020-01-13,96,Resolved,Ships,498.09,S334-2973,Customer_271,+52-139-5486,3149 Main Street,London,65876,USA,LastName_1263,FirstName_409,Small
10573,7,196.37,5,1374.59,2021-06-09,358,Disputed,Classic Cars,233.43,S536-8851,Customer_126,+66-537-1846,4986 Main Street,Toronto,45290,Australia,LastName_575,FirstName_1932,Medium
10574,92,214.86,3,19767.12,2018-07-14,93,Shipped,Motorcycles,240.83,S862-6269,Customer_435,+37-583-5590,9938 Main Street,Toronto,66479,UK,LastName_517,FirstName_1943,Medium
10575,47,173.8,1,8168.6,2019-02-01,342,Shipped,Ships,229.54,S982-3134,Customer_679,+47-859-6920,9649 Main Street,Amsterdam,89261,Australia,LastName_488,FirstName_1332,Medium
10576,27,296.32,1,8000.64,2019-03-12,66,Disputed,Ships,397.29,S142-4120,Customer_396,+91-556-2616,1227 Main Street,Amsterdam,91134,Australia,LastName_618,FirstName_1486,Medium
10577,98,108.98,2,10680.04,2018-06-29,65,Cancelled,Vintage Cars,143.88,S358-6690,Customer_1833,+47-559-2923,7146 Main Street,Toronto,73284,Italy,LastName_1073,FirstName_1908,Large
10578,3,91.8,3,275.4,2025-10-24,66,On Hold,Motorcycles,136.08,S162-4116,Customer_1517,+51-606-9723,8413 Main Street,Toronto,31694,Spain,LastName_1538,FirstName_1044,Medium
10579,72,391.89,4,28216.08,2024-10-23,139,Cancelled,Classic Cars,431.64,S685-4568,Customer_1213,+90-109-9401,7462 Main Street,Amsterdam,78822,France,LastName_622,FirstName_1746,Small
10580,38,357.04,5,13567.52,2019-05-03,87,Cancelled,Motorcycles,468.95,S398-1640,Customer_1310,+19-384-3178,4431 Main Street,New York,94202,Germany,LastName_1687,FirstName_431,Large
10581,15,10.69,3,160.35,2025-02-04,309,On Hold,Trucks and Buses,12.11,S822-9999,Customer_541,+93-236-7690,4832 Main Street,Sydney,17505,USA,LastName_1688,FirstName_729,Small
10582,94,482.96,2,45398.24,2020-11-14,8,Resolved,Ships,720.34,S896-2743,Customer_1480,+96-804-7258,4217 Main Street,Tokyo,82204,Germany,LastName_1673,FirstName_906,Small
10583,42,141.71,5,5951.82,2025-01-23,202,Cancelled,Vintage Cars,169.02,S843-8109,Customer_755,+19-590-2535,8126 Main Street,London,70213,UK,LastName_1671,FirstName_1767,Small
10584,25,289.13,2,7228.25,2025-04-06,144,Shipped,Trucks and Buses,336.88,S281-7458,Customer_1408,+78-292-2137,2352 Main Street,Toronto,65888,Germany,LastName_932,FirstName_1862,Large
10585,52,59.11,5,3073.72,2019-07-17,6,Resolved,Motorcycles,73.96,S121-2802,Customer_1693,+2-881-1716,2166 Main Street,Berlin,20957,France,LastName_293,FirstName_1923,Large
